miRNA genes,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
mmu-miR-7010-5p,1.34166708533237,-4.005827377822287,2.6282828208329185,-1.5241234109473867,0.12747788556351897,0.9978624094514408
mmu-miR-344f-5p,0.9829800317597296,-3.5497467943860084,2.8356303161202736,-1.2518369458127367,0.2106292845828832,0.9978624094514408
mmu-miR-6908-3p,0.957520487077146,-3.5191431869343317,2.984238710469853,-1.1792431934442205,0.23830135114866735,0.9978624094514408
mmu-miR-466p-3p,1.9349068105078366,-3.4459272383022217,2.039320266883333,-1.6897430453964881,0.09107712422607506,0.9978624094514408
mmu-miR-6916-5p,0.8203389998838505,-3.3315404991486957,3.0923156767370235,-1.0773610612303655,0.2813189929059773,0.9978624094514408
mmu-miR-10b-3p,0.8290960496559929,-3.2972201623203157,3.1252792953298814,-1.0550161603948056,0.2914179338337559,0.9978624094514408
mmu-miR-6932-3p,0.7948794552012669,-3.2917256756003783,3.142517123722187,-1.0474805851499895,0.29487798195779213,0.9978624094514408
mmu-miR-3544-5p,0.7036956652836844,-3.0945832379094877,3.0633628828415755,-1.0101915301131261,0.31240353642032026,0.9978624094514408
mmu-miR-467b-3p,0.6919145624626974,-3.075798743060644,3.267944790889775,-0.9412027864225899,0.34660094908667527,0.9978624094514408
mmu-miR-6916-3p,0.6409954730975302,-2.9804763109959085,3.3341145169692856,-0.8939333954567239,0.37135752847083725,0.9978624094514408
mmu-miR-3082-5p,1.345025340454007,-2.9368281178335574,2.186630022269952,-1.343084146802677,0.1792447282859414,0.9978624094514408
mmu-miR-141-3p,14.31407702235466,-2.832847873991535,2.020142753668225,-1.4023008368332288,0.16082543063635035,0.9978624094514408
mmu-miR-12193-5p,0.5870523306835186,-2.808191350211246,3.4356866765956986,-0.8173595599799526,0.4137229789590542,0.9978624094514408
mmu-miR-7054-5p,0.5752712278625314,-2.7865259299211966,3.4550523347927204,-0.8065075894395589,0.4199502337396185,0.9978624094514408
mmu-miR-326-5p,0.5498116831799479,-2.728455579172054,3.2930961164776122,-0.8285380938381133,0.4073658306326632,0.9978624094514408
mmu-miR-12181-3p,0.5498116831799479,-2.728455579172054,3.2930961164776122,-0.8285380938381133,0.4073658306326632,0.9978624094514408
mmu-miR-467e-3p,0.5380305803589608,-2.7057081186638436,3.7927811552435893,-0.7133836643654361,0.47560837874123274,0.9978624094514408
mmu-miR-466o-5p,0.5243521384973643,-2.669603721274368,3.546828987071353,-0.7526733685230995,0.45164621707513186,0.9978624094514408
mmu-miR-6919-5p,0.5125710356763772,-2.645729219661684,3.5703027289517104,-0.7410377832129956,0.458670531563137,0.9978624094514408
