miRNA genes,Control1,Control2,Control3,High1,High2,High3
mmu-miR-125b-5p,2006590,991141,1182978,1644516,1270743,1534272
mmu-miR-27b-3p,60502,36384,44320,49983,51626,78894
mmu-let-7a-5p,74761,52821,47287,79172,81796,92445
mmu-miR-127-3p,512799,337822,311230,401267,379179,690708
mmu-miR-29a-3p,173952,109322,113901,155332,150190,222716
mmu-miR-193b-3p,910,700,967,524,693,1056
mmu-miR-128-3p,429207,387926,275491,362152,489304,489335
mmu-miR-26a-5p,332867,199170,278768,314063,350854,496674
mmu-miR-139-5p,43288,49604,27169,29452,39653,49696
mmu-miR-148b-3p,4807,4732,4189,3921,5298,7634
mmu-miR-9-5p,160419,145651,154262,144491,250233,229429
mmu-miR-124-3p,272118,183136,214429,225875,262296,247420
mmu-miR-411-3p,5151,3666,3737,4374,5728,8089
mmu-miR-434-3p,263556,236357,195216,201951,228131,339638
mmu-miR-383-5p,11252,6743,8073,8403,9862,11539
mmu-miR-487b-3p,3888,4248,2695,3233,4757,7130
mmu-miR-221-5p,1797,1063,1503,1628,1686,2474
mmu-miR-191-5p,165293,99545,113727,137096,126392,192158
mmu-miR-99b-5p,180726,91738,116797,124793,107772,164895
mmu-let-7d-5p,42295,34896,25740,37549,43526,49260
mmu-miR-219a-2-3p,13755,8958,8746,9956,14393,13749
mmu-miR-330-5p,7501,7628,5005,6005,8668,10351
mmu-miR-30c-5p,113251,64706,85506,95575,115770,125635
mmu-let-7g-5p,95296,68668,77135,98990,133915,151204
mmu-miR-125a-5p,396042,215185,183894,284614,219322,193452
mmu-miR-181a-5p,126978,52206,84121,102201,88747,101961
mmu-miR-129-2-3p,51135,45554,39226,45953,56836,56458
mmu-miR-3099-3p,1590,2094,1005,885,1477,2461
mmu-miR-409-5p,12351,7250,9761,9542,9320,17285
mmu-let-7f-5p,35429,26104,27275,39683,48966,60930
mmu-miR-132-3p,49299,43538,35560,38849,70089,41812
mmu-miR-100-5p,65022,31194,46119,58146,57593,89888
mmu-miR-124b-3p,703,80,663,62,1457,90
mmu-miR-99a-5p,160955,75510,112316,140849,127610,217528
mmu-miR-107-3p,10406,6575,6514,8883,14010,14935
mmu-miR-149-5p,37223,24484,20991,27173,23075,32637
mmu-miR-221-3p,61411,67847,48176,51285,83050,86758
mmu-miR-375-3p,320,449,423,241,625,643
mmu-let-7d-3p,52103,36706,30565,35887,39786,41908
mmu-miR-339-5p,6928,7360,4757,4604,8227,8472
mmu-miR-22-3p,18847,13504,14916,15654,20899,30983
mmu-let-7e-5p,19756,14377,12542,11182,20503,25687
mmu-miR-433-3p,37435,41002,20341,25260,34632,39404
mmu-miR-541-5p,24446,17006,19538,19081,24479,30618
mmu-miR-320-3p,3649,3261,2168,2628,3829,3337
mmu-miR-652-3p,2133,1751,1152,1609,1909,2592
mmu-miR-1249-3p,8315,7251,4609,6968,4863,6842
mmu-miR-346-5p,20487,10346,11749,15888,12072,17981
mmu-let-7c-5p,104827,68584,66569,101398,106058,112904
mmu-let-7b-5p,48356,31705,29426,41297,44213,44997
mmu-miR-9b-3p,29505,33782,311,28562,46385,45944
mmu-miR-342-3p,22353,12406,14787,17414,14244,22143
mmu-miR-151-5p,44589,26543,26479,37405,33194,49074
mmu-miR-151-3p,10394,6334,5436,7861,6463,8767
mmu-miR-1298-3p,169,474,199,110,536,844
mmu-miR-376b-3p,1614,1731,1313,1352,2096,3870
mmu-miR-329-3p,5714,3880,3601,4290,4497,5609
mmu-let-7j,6445,4429,5099,6262,9349,8773
mmu-miR-598-3p,489,479,338,423,616,695
mmu-miR-328-3p,52006,59011,33698,37399,45842,52283
mmu-miR-484,17181,9499,9924,11818,10671,13611
mmu-miR-222-3p,36119,33195,25279,27635,33465,42775
mmu-miR-300-3p,8597,7653,6353,6793,10259,14868
mmu-miR-744-5p,15572,22000,14984,10819,18631,22221
mmu-miR-16-5p,6328,3990,6753,7266,8307,9605
mmu-miR-30d-5p,71672,40901,46444,58258,60943,81001
mmu-miR-129-5p,25851,25566,16773,21061,27043,29010
mmu-miR-23b-3p,9775,7468,8289,8372,10317,13575
mmu-miR-433-5p,780,903,593,639,1188,1625
mmu-let-7i-5p,29697,23900,24040,28015,41283,47776
mmu-miR-30a-5p,4643,3569,3700,4053,6708,8118
mmu-miR-25-3p,2596,2125,1959,2454,3590,3104
mmu-miR-1982-3p,169,98,78,97,112,132
mmu-miR-497a-5p,1406,685,921,1357,1515,1046
mmu-miR-143-3p,8971,9355,7199,9186,12160,21015
mmu-miR-30e-5p,1062,808,772,927,1200,1702
mmu-miR-23a-3p,12629,8765,10525,12416,13007,15688
mmu-miR-330-3p,17831,13358,11718,14630,14545,17034
mmu-miR-15b-5p,1319,897,1027,1160,986,1312
mmu-miR-133a-3p,100,84,85,71,102,126
mmu-miR-344d-3p,2608,2357,1437,2003,2315,3244
mmu-miR-361-5p,14339,7489,9557,11989,9497,16623
mmu-miR-370-3p,14711,12428,11325,10979,11740,19186
mmu-miR-181b-5p,15975,8439,10786,13271,15224,14331
