miRNA genes,Control1,Control2,Control3,High1,High2,High3
hsa-miR-10b-5p,369635,488334,364537,112924,119356,76795
hsa-miR-10a-5p,70175,117032,71878,31934,37409,9045
hsa-miR-192-5p,52891,95995,56427,31984,9936,59914
hsa-miR-127-3p,750,1383,1862,269,244,649
hsa-miR-27b-3p,34430,55272,43055,29763,25665,24854
hsa-miR-486-5p,943,3269,2516,4165,3038,950
hsa-miR-30d-5p,6846,11594,6801,5555,3785,7927
hsa-let-7a-5p,30191,47516,40746,32055,19344,21825
hsa-miR-22-3p,38745,71594,51859,24811,22194,41072
hsa-let-7g-5p,6013,8590,7982,4082,2865,3126
hsa-miR-26a-5p,48796,96076,74532,50166,76420,46128
hsa-miR-30a-5p,56345,97069,59708,30982,20105,53235
hsa-miR-181a-5p,17826,24039,28314,36432,24255,22775
hsa-miR-143-3p,47405,77719,73146,69282,119882,50714
hsa-miR-199b-3p,1506,1070,3153,297,647,742
hsa-miR-301a-3p,132,226,154,156,124,144
hsa-let-7f-5p,17317,26842,25030,21975,11213,12875
hsa-miR-191-5p,4687,8782,6189,3120,4945,5661
hsa-miR-3074-5p,340,22,47,42,54,60
hsa-miR-30b-5p,6632,9853,3012,1426,1054,1534
hsa-miR-423-3p,856,860,1194,1423,587,1141
hsa-miR-194-5p,2690,5394,3440,2093,584,3246
hsa-miR-21-5p,5599,13104,11543,18994,17673,38075
hsa-miR-181b-5p,623,765,1028,1751,1159,1190
hsa-miR-99b-5p,3200,6389,2329,4558,1934,5263
hsa-miR-26b-5p,1711,2286,1892,1738,950,1572
hsa-miR-125a-5p,6064,10427,6050,6732,3842,3261
hsa-let-7c-5p,2863,3673,3225,1725,1350,799
hsa-miR-27a-3p,1321,2298,1944,3237,3472,4713
hsa-miR-20a-5p,372,555,304,286,128,210
hsa-miR-136-3p,101,145,176,14,7,35
hsa-miR-19b-3p,358,509,310,412,197,395
hsa-let-7b-5p,4573,6655,5035,2576,2057,2509
hsa-miR-23a-3p,319,540,359,448,723,838
hsa-miR-342-3p,77,119,125,79,229,109
hsa-miR-25-3p,684,1165,1085,1576,980,1490
hsa-let-7e-5p,1590,2698,1402,1001,726,675
hsa-miR-101-3p,966,1306,1088,1390,532,1100
hsa-miR-199a-3p,729,3257,418,125,226,132
hsa-miR-16-5p,3038,5946,4717,7896,6131,8194
hsa-miR-30e-3p,406,519,541,304,209,499
hsa-miR-186-5p,1397,2543,2016,2292,2245,4189
hsa-miR-92a-3p,3285,5036,5014,4832,2717,4196
hsa-miR-107,528,647,502,202,50,142
hsa-miR-29c-3p,662,1133,745,554,384,646
hsa-miR-99a-5p,589,1061,621,499,406,328
hsa-miR-126-3p,1845,3075,2816,8691,5258,2828
hsa-miR-30c-2-3p,213,352,348,96,57,86
hsa-miR-214-3p,40,67,68,2,14,11
hsa-miR-23b-3p,1385,3038,1834,881,1928,1083
hsa-miR-98-5p,1813,3319,2373,1549,1056,1057
hsa-miR-10b-3p,67,101,87,22,25,14
hsa-miR-378a-3p,3050,4679,3240,1653,847,1683
hsa-miR-374a-3p,119,166,148,220,92,132
hsa-miR-221-3p,640,1026,811,221,708,497
hsa-miR-148a-3p,4575,6781,6880,7291,4957,6302
hsa-miR-125b-5p,1280,2339,1616,782,780,701
hsa-miR-215-5p,145,121,54,95,33,182
hsa-miR-204-5p,6838,9217,6139,1899,1166,2462
hsa-miR-197-3p,93,160,160,136,207,158
hsa-miR-151a-5p,2354,3730,2370,3519,1981,3290
hsa-miR-126-5p,8400,14364,12380,42559,19778,13863
hsa-miR-103a-3p,2136,2848,2043,977,583,565
hsa-miR-15a-5p,258,460,373,726,409,661
