Events,bowtie1_TotalEvents,bowtie2_TotalEvents,bowtie3_TotalEvents,bowtie4_TotalEvents,bowtie5_TotalEvents,bowtie6_TotalEvents
A-T,13526,11335,12810,14614,8644,7301
A-G,2500,2734,2698,2253,2966,3062
A-C,344,638,706,4674,1139,741
T-A,10963,12429,11748,10131,12103,11931
T-G,53143,17155,4096,2585,117447,130807
T-C,2263,2764,2456,2307,2315,2526
G-A,5285,4948,5046,5046,4980,4711
G-T,3563,3785,3662,83899,3483,3468
G-C,250,319,309,255,303,280
C-A,7688,8392,8105,6399,8494,8168
C-T,7011,8380,7515,5675,7830,7704
C-G,125,166,139,128,225,133
Total,106661,73045,59290,137966,169929,180832
